date,symbol,title,summary,text,url,source,text_clean,sentiment,positive,negative,neutral,sentiment_score,confidence,method,explanation
2025-12-02 22:30:00,VNM,Bước tiến pin xe điện Trung Quốc dung lượng lớn hoạt động 1.000km,"Tập đoàn GAC (Guangzhou Automobile Group) vừa đưa vào vận hành dây chuyền thử nghiệm đầu tiên tại Trung Quốc có khả năng sản xuất pin thể rắn dung lượng lớn, từ 60Ah trở lên.","Bước tiến pin xe điện Trung Quốc dung lượng lớn hoạt động 1.000km Tập đoàn GAC (Guangzhou Automobile Group) vừa đưa vào vận hành dây chuyền thử nghiệm đầu tiên tại Trung Quốc có khả năng sản xuất pin thể rắn dung lượng lớn, từ 60Ah trở lên.",https://vietnamnet.vn/buoc-tien-pin-xe-dien-trung-quoc-dung-luong-lon-hoat-dong-1-000km-2467218.html,VietnamNet KinhTe,"Bước tiến pin xe điện Trung Quốc dung lượng lớn hoạt động NUMBER . NUMBER km Tập đoàn GAC Guangzhou Automobile Group vừa đưa vào vận hành dây chuyền thử nghiệm đầu tiên tại Trung Quốc có khả năng sản xuất pin thể rắn dung lượng lớn, từ NUMBER Ah trở lên.",neutral,0.0,0.0,1.0,0.0,0.0,keyword-based,Không có tín hiệu rõ ràng từ tin tức
2025-12-02 21:28:00,VNM,Bắt buộc đối chiếu sinh trắc học khi phát hành thẻ ngân hàng từ 2026,"Thông tư 45 bổ sung yêu cầu tổ chức phát hành thẻ phải gặp mặt trực tiếp và đối chiếu khớp đúng thông tin sinh trắc học của chủ thẻ đối với khách hàng cá nhân, người đại diện hợp pháp đối với khách hàng tổ chức.","Bắt buộc đối chiếu sinh trắc học khi phát hành thẻ ngân hàng từ 2026 Thông tư 45 bổ sung yêu cầu tổ chức phát hành thẻ phải gặp mặt trực tiếp và đối chiếu khớp đúng thông tin sinh trắc học của chủ thẻ đối với khách hàng cá nhân, người đại diện hợp pháp đối với khách hàng tổ chức.",https://vietnamnet.vn/bat-buoc-doi-chieu-sinh-trac-hoc-khi-phat-hanh-the-ngan-hang-tu-2026-2468592.html,VietnamNet KinhTe,"Bắt buộc đối chiếu sinh trắc học khi phát hành thẻ ngân hàng từ NUMBER Thông tư NUMBER bổ sung yêu cầu tổ chức phát hành thẻ phải gặp mặt trực tiếp và đối chiếu khớp đúng thông tin sinh trắc học của chủ thẻ đối với khách hàng cá nhân, người đại diện hợp pháp đối với khách hàng tổ chức.",neutral,0.0,0.0,1.0,0.0,0.0,keyword-based,Không có tín hiệu rõ ràng từ tin tức
2025-12-02 20:46:00,VNM,Doanh nghiệp phải trả tiền để KOL trực tiếp đi kiểm định sản phẩm,"KOL, KOC thường quảng cáo sản phẩm cho doanh nghiệp nhưng không xác minh tính trung thực của nội dung quảng cáo. Tuy nhiên, mọi thứ sẽ phải thay đổi từ năm 2026.","Doanh nghiệp phải trả tiền để KOL trực tiếp đi kiểm định sản phẩm KOL, KOC thường quảng cáo sản phẩm cho doanh nghiệp nhưng không xác minh tính trung thực của nội dung quảng cáo. Tuy nhiên, mọi thứ sẽ phải thay đổi từ năm 2026.",https://vietnamnet.vn/doanh-nghiep-phai-tra-tien-de-kol-truc-tiep-di-kiem-dinh-san-pham-2468681.html,VietnamNet KinhTe,"Doanh nghiệp phải trả tiền để KOL trực tiếp đi kiểm định sản phẩm KOL, KOC thường quảng cáo sản phẩm cho doanh nghiệp nhưng không xác minh tính trung thực của nội dung quảng cáo. Tuy nhiên, mọi thứ sẽ phải thay đổi từ năm NUMBER .",neutral,0.0,0.0,1.0,0.0,0.0,keyword-based,Không có tín hiệu rõ ràng từ tin tức
2025-12-02 15:30:00,VNM,"Mặc thương chiến, đồng nhân dân tệ sắp hoàn tất một năm tăng giá mạnh",Đồng nh#226;n d#226;n tệ của Trung Quốc đang tiến tới ho#224;n tất năm 2025 với mức tăng gi#225; mạnh nhất trong v#242;ng 5 năm qua...,"Mặc thương chiến, đồng nhân dân tệ sắp hoàn tất một năm tăng giá mạnh Đồng nh#226;n d#226;n tệ của Trung Quốc đang tiến tới ho#224;n tất năm 2025 với mức tăng gi#225; mạnh nhất trong v#242;ng 5 năm qua...",https://vneconomy.vn/mac-thuong-chien-dong-nhan-dan-te-sap-hoan-tat-mot-nam-tang-gia-manh.htm,VnEconomy,"Mặc thương chiến, đồng nhân dân tệ sắp hoàn tất một năm tăng giá mạnh Đồng nh NUMBER n d NUMBER n tệ của Trung Quốc đang tiến tới ho NUMBER n tất năm NUMBER với mức tăng gi NUMBER mạnh nhất trong v NUMBER ng NUMBER năm qua...",positive,1.0,0.0,0.0,1.0,1.0,keyword-based,🚀 Tín hiệu TĂNG MẠNH - Khuyến nghị MUA
2025-12-02 15:26:00,VNM,"Khối ngoại bất ngờ tung tiền gom, cá nhân tiếp tục thoát hàng","Nh#224; đầu tư nước ngo#224;i h#244;m nay bất ngờ đảo chiều mua r#242;ng 651.9 tỷ đồng, t#237;nh ri#234;ng giao dịch khớp lệnh th#236; họ mua r#242;ng 619.2 tỷ đồng. Trong khi đ#243; nh#224; đầu tư c#225; nh#226;n b#225;n r#242;ng 2.413 tỷ đồng...","Khối ngoại bất ngờ tung tiền gom, cá nhân tiếp tục thoát hàng Nh#224; đầu tư nước ngo#224;i h#244;m nay bất ngờ đảo chiều mua r#242;ng 651.9 tỷ đồng, t#237;nh ri#234;ng giao dịch khớp lệnh th#236; họ mua r#242;ng 619.2 tỷ đồng. Trong khi đ#243; nh#224; đầu tư c#225; nh#226;n b#225;n r#242;ng 2.413 tỷ đồng...",https://vneconomy.vn/khoi-ngoai-bat-ngo-tung-tien-gom-ca-nhan-tiep-tuc-thoat-hang.htm,VnEconomy,"Khối ngoại bất ngờ tung tiền gom, cá nhân tiếp tục thoát hàng Nh NUMBER đầu tư nước ngo NUMBER i h NUMBER m nay bất ngờ đảo chiều mua r NUMBER ng NUMBER . NUMBER tỷ đồng, t NUMBER nh ri NUMBER ng giao dịch khớp lệnh th NUMBER họ mua r NUMBER ng NUMBER . NUMBER tỷ đồng. Trong khi đ NUMBER nh NUMBER đầu tư c NUMBER nh NUMBER n b NUMBER n r NUMBER ng NUMBER . NUMBER tỷ đồng...",neutral,0.0,0.0,1.0,0.0,0.0,keyword-based,Không có tín hiệu rõ ràng từ tin tức
2025-12-02 09:21:00,VNM,Blog chứng khoán: Giữ khách,"Thị trường được k#237;ch th#237;ch kh#225; tốt chiều nay. Vẫn l#224; sự dẫn dắt của c#225;c trụ như những phi#234;n trước nhưng đ#227; c#243; sức lan tỏa rộng hơn. Thanh khoản vẫn l#224; điểm yếu, nhưng những phi#234;n đảo chiều phục hồi như vậy g#243;p phần tạo hi vọng v#224; “giữ kh#225;ch”.","Blog chứng khoán: Giữ khách Thị trường được k#237;ch th#237;ch kh#225; tốt chiều nay. Vẫn l#224; sự dẫn dắt của c#225;c trụ như những phi#234;n trước nhưng đ#227; c#243; sức lan tỏa rộng hơn. Thanh khoản vẫn l#224; điểm yếu, nhưng những phi#234;n đảo chiều phục hồi như vậy g#243;p phần tạo hi vọng v#224; “giữ kh#225;ch”.",https://vneconomy.vn/blog-chung-khoan-giu-khach-1278789.htm,VnEconomy,"Blog chứng khoán Giữ khách Thị trường được k NUMBER ch th NUMBER ch kh NUMBER tốt chiều nay. Vẫn l NUMBER sự dẫn dắt của c NUMBER c trụ như những phi NUMBER n trước nhưng đ NUMBER c NUMBER sức lan tỏa rộng hơn. Thanh khoản vẫn l NUMBER điểm yếu, nhưng những phi NUMBER n đảo chiều phục hồi như vậy g NUMBER p phần tạo hi vọng v NUMBER giữ kh NUMBER ch .",positive,1.0,0.0,0.0,1.0,1.0,keyword-based,🚀 Tín hiệu TĂNG MẠNH - Khuyến nghị MUA
2025-12-02 08:29:00,VNM,"Cổ phiếu blue-chips dẫn sóng phục hồi, vốn ngoại cũng đua","Ngay khi thị trường mở cửa trở lại trong phi#234;n chiều, d#242;ng tiền đột ngột mạnh l#234;n. Nh#243;m blue-chips khởi động trước, đặc biệt l#224; c#225;c trụ, tạo sức lan tỏa phục hồi kh#225; rộng. Bất ngờ l#224; nh#224; đầu tư nước ngo#224;i cũng giải ng#226;n nhiệt t#236;nh, chuyển sang vị thế mua r#242;ng.","Cổ phiếu blue-chips dẫn sóng phục hồi, vốn ngoại cũng đua Ngay khi thị trường mở cửa trở lại trong phi#234;n chiều, d#242;ng tiền đột ngột mạnh l#234;n. Nh#243;m blue-chips khởi động trước, đặc biệt l#224; c#225;c trụ, tạo sức lan tỏa phục hồi kh#225; rộng. Bất ngờ l#224; nh#224; đầu tư nước ngo#224;i cũng giải ng#226;n nhiệt t#236;nh, chuyển sang vị thế mua r#242;ng.",https://vneconomy.vn/co-phieu-blue-chips-dan-song-phuc-hoi-von-ngoai-cung-dua.htm,VnEconomy,"Cổ phiếu blue-chips dẫn sóng phục hồi, vốn ngoại cũng đua Ngay khi thị trường mở cửa trở lại trong phi NUMBER n chiều, d NUMBER ng tiền đột ngột mạnh l NUMBER n. Nh NUMBER m blue-chips khởi động trước, đặc biệt l NUMBER c NUMBER c trụ, tạo sức lan tỏa phục hồi kh NUMBER rộng. Bất ngờ l NUMBER nh NUMBER đầu tư nước ngo NUMBER i cũng giải ng NUMBER n nhiệt t NUMBER nh, chuyển sang vị thế mua r NUMBER ng.",positive,1.0,0.0,0.0,1.0,1.0,keyword-based,🚀 Tín hiệu TĂNG MẠNH - Khuyến nghị MUA
2025-12-02 07:20:00,VNM,"Công ty chứng khoán khuyến nghị mua hai cổ phiếu ngân hàng trong tháng 12, tiềm năng tăng lên tới 42%","Danh mục c#244;̉ phiếu ti#234;u biểu MBS lựa chọn cho th#225;ng 12/2025 bao gồm CTG, ACB, VGC, VRE, PDR, BSR, PVD, HDG, FPT, MSN. Trong đ#243;, CTG tiềm năng tăng gi#225; 42%...","Công ty chứng khoán khuyến nghị mua hai cổ phiếu ngân hàng trong tháng 12, tiềm năng tăng lên tới 42% Danh mục c#244;̉ phiếu ti#234;u biểu MBS lựa chọn cho th#225;ng 12/2025 bao gồm CTG, ACB, VGC, VRE, PDR, BSR, PVD, HDG, FPT, MSN. Trong đ#243;, CTG tiềm năng tăng gi#225; 42%...",https://vneconomy.vn/cong-ty-chung-khoan-khuyen-nghi-mua-hai-co-phieu-ngan-hang-trong-thang-12-tiem-nang-tang-len-toi-42.htm,VnEconomy,"Công ty chứng khoán khuyến nghị mua hai cổ phiếu ngân hàng trong tháng NUMBER , tiềm năng tăng lên tới NUMBER % Danh mục c NUMBER phiếu ti NUMBER u biểu MBS lựa chọn cho th NUMBER ng NUMBER NUMBER bao gồm CTG, ACB, VGC, VRE, PDR, BSR, PVD, HDG, FPT, MSN. Trong đ NUMBER , CTG tiềm năng tăng gi NUMBER NUMBER %...",positive,1.0,0.0,0.0,1.0,1.0,keyword-based,🚀 Tín hiệu TĂNG MẠNH - Khuyến nghị MUA
2025-12-02 07:20:00,VNM,Tổng giám đốc ABS: Lãi suất nhích lên chưa ảnh hưởng đến bối cảnh vĩ mô,"#212;ng Nguyễn Quang Đạt, Tổng gi#225;m đốc C#244;ng ty Chứng kho#225;n An B#236;nh cho rằng l#227;i suất trong nước hiện nay tuy c#243; tăng nhưng vẫn thấp so với mặt bằng trong thời gian trước đ#226;y v#224; so với thế giới. Điều n#224;y chưa ảnh hưởng lớn đến bối cảnh vĩ m#244; hiện tại.","Tổng giám đốc ABS: Lãi suất nhích lên chưa ảnh hưởng đến bối cảnh vĩ mô #212;ng Nguyễn Quang Đạt, Tổng gi#225;m đốc C#244;ng ty Chứng kho#225;n An B#236;nh cho rằng l#227;i suất trong nước hiện nay tuy c#243; tăng nhưng vẫn thấp so với mặt bằng trong thời gian trước đ#226;y v#224; so với thế giới. Điều n#224;y chưa ảnh hưởng lớn đến bối cảnh vĩ m#244; hiện tại.",https://vneconomy.vn/tong-giam-doc-abs-lai-suat-nhich-len-chua-anh-huong-den-boi-canh-vi-mo.htm,VnEconomy,"Tổng giám đốc ABS Lãi suất nhích lên chưa ảnh hưởng đến bối cảnh vĩ mô NUMBER ng Nguyễn Quang Đạt, Tổng gi NUMBER m đốc C NUMBER ng ty Chứng kho NUMBER n An B NUMBER nh cho rằng l NUMBER i suất trong nước hiện nay tuy c NUMBER tăng nhưng vẫn thấp so với mặt bằng trong thời gian trước đ NUMBER y v NUMBER so với thế giới. Điều n NUMBER y chưa ảnh hưởng lớn đến bối cảnh vĩ m NUMBER hiện tại.",neutral,0.0,0.0,1.0,0.0,0.0,keyword-based,Không có tín hiệu rõ ràng từ tin tức
2025-12-02 07:19:00,VNM,Giới đầu tư toàn cầu “xả hàng” trái phiếu chính phủ,C#225;c nh#224; giao dịch tr#225;i phiếu tr#234;n to#224;n cầu rất nhạy cảm với ch#237;nh s#225;ch của Ng#226;n h#224;ng Trung ương Nhật Bản (BOJ)...,Giới đầu tư toàn cầu “xả hàng” trái phiếu chính phủ C#225;c nh#224; giao dịch tr#225;i phiếu tr#234;n to#224;n cầu rất nhạy cảm với ch#237;nh s#225;ch của Ng#226;n h#224;ng Trung ương Nhật Bản (BOJ)...,https://vneconomy.vn/gioi-dau-tu-toan-cau-xa-hang-trai-phieu-chinh-phu.htm,VnEconomy,Giới đầu tư toàn cầu xả hàng trái phiếu chính phủ C NUMBER c nh NUMBER giao dịch tr NUMBER i phiếu tr NUMBER n to NUMBER n cầu rất nhạy cảm với ch NUMBER nh s NUMBER ch của Ng NUMBER n h NUMBER ng Trung ương Nhật Bản BOJ ...,neutral,0.0,0.0,1.0,0.0,0.0,keyword-based,Không có tín hiệu rõ ràng từ tin tức
2025-12-02 05:00:00,VNM,"Thị trường mắc kẹt: Chỉ số xanh vẫn lỗ, đỏ lỗ nhiều hơn","Nh#243;m cổ phiếu Vin quay đầu điều chỉnh s#225;ng nay đ#227; g#226;y #225;p lực l#234;n VN-Index. Hiện tượng n#224;y kh#244;ng c#243; g#236; bất ngờ, nhưng điều g#226;y ức chế l#224; khi chỉ số tăng danh mục đa phần thua lỗ, khi chỉ số giảm danh mục c#242;n lỗ nhiều hơn!","Thị trường mắc kẹt: Chỉ số xanh vẫn lỗ, đỏ lỗ nhiều hơn Nh#243;m cổ phiếu Vin quay đầu điều chỉnh s#225;ng nay đ#227; g#226;y #225;p lực l#234;n VN-Index. Hiện tượng n#224;y kh#244;ng c#243; g#236; bất ngờ, nhưng điều g#226;y ức chế l#224; khi chỉ số tăng danh mục đa phần thua lỗ, khi chỉ số giảm danh mục c#242;n lỗ nhiều hơn!",https://vneconomy.vn/thi-truong-mac-ket-chi-so-xanh-van-lo-do-lo-nhieu-hon.htm,VnEconomy,"Thị trường mắc kẹt Chỉ số xanh vẫn lỗ, đỏ lỗ nhiều hơn Nh NUMBER m cổ phiếu Vin quay đầu điều chỉnh s NUMBER ng nay đ NUMBER g NUMBER y NUMBER p lực l NUMBER n VN-Index. Hiện tượng n NUMBER y kh NUMBER ng c NUMBER g NUMBER bất ngờ, nhưng điều g NUMBER y ức chế l NUMBER khi chỉ số tăng danh mục đa phần thua lỗ, khi chỉ số giảm danh mục c NUMBER n lỗ nhiều hơn!",negative,0.0,0.33,0.6699999999999999,-0.33,0.33,keyword-based,📉 Tín hiệu GIẢM - Cân nhắc cắt lỗ
2025-12-02 04:03:00,VNM,Không loại trừ khả năng Ngân hàng Nhà nước nới room tín dụng?,"VDSC kh#244;ng loại trừ khả năng Ng#226;n h#224;ng Nh#224; nước c#243; thể nới room t#237;n dụng sau khi Fed cắt giảm l#227;i suất sau cuộc họp th#225;ng 12, tuy nhi#234;n vẫn nghi#234;ng về khả năng Ng#226;n h#224;ng Nh#224; nước giữ nguy#234;n quan điểm điều h#224;nh thận trọng như hiện tại tới hết năm...","Không loại trừ khả năng Ngân hàng Nhà nước nới room tín dụng? VDSC kh#244;ng loại trừ khả năng Ng#226;n h#224;ng Nh#224; nước c#243; thể nới room t#237;n dụng sau khi Fed cắt giảm l#227;i suất sau cuộc họp th#225;ng 12, tuy nhi#234;n vẫn nghi#234;ng về khả năng Ng#226;n h#224;ng Nh#224; nước giữ nguy#234;n quan điểm điều h#224;nh thận trọng như hiện tại tới hết năm...",https://vneconomy.vn/khong-loai-tru-kha-nang-ngan-hang-nha-nuoc-noi-room-tin-dung.htm,VnEconomy,"Không loại trừ khả năng Ngân hàng Nhà nước nới room tín dụng? VDSC kh NUMBER ng loại trừ khả năng Ng NUMBER n h NUMBER ng Nh NUMBER nước c NUMBER thể nới room t NUMBER n dụng sau khi Fed cắt giảm l NUMBER i suất sau cuộc họp th NUMBER ng NUMBER , tuy nhi NUMBER n vẫn nghi NUMBER ng về khả năng Ng NUMBER n h NUMBER ng Nh NUMBER nước giữ nguy NUMBER n quan điểm điều h NUMBER nh thận trọng như hiện tại tới hết năm...",negative,0.0,1.0,0.0,-1.0,1.0,keyword-based,🔻 Tín hiệu GIẢM MẠNH - Khuyến nghị BÁN
2025-12-02 03:38:00,VNM,Bitcoin lao dốc mạnh nhất 8 tháng dù Strategy công bố dự trữ USD,Chiến lược của Strategy l#224; t#237;ch trữ bitcoin bằng tiền huy động được từ việc li#234;n tục b#225;n ra cổ phiếu...,Bitcoin lao dốc mạnh nhất 8 tháng dù Strategy công bố dự trữ USD Chiến lược của Strategy l#224; t#237;ch trữ bitcoin bằng tiền huy động được từ việc li#234;n tục b#225;n ra cổ phiếu...,https://vneconomy.vn/bitcoin-lao-doc-manh-nhat-8-thang-du-strategy-cong-bo-du-tru-usd.htm,VnEconomy,Bitcoin lao dốc mạnh nhất NUMBER tháng dù Strategy công bố dự trữ USD Chiến lược của Strategy l NUMBER t NUMBER ch trữ bitcoin bằng tiền huy động được từ việc li NUMBER n tục b NUMBER n ra cổ phiếu...,neutral,0.0,0.0,1.0,0.0,0.0,keyword-based,➡️ Trung lập - Tiếp tục theo dõi diễn biến
2025-12-02 03:25:00,VNM,Các ETF đầu tư vào Việt Nam tiếp tục bị rút ròng,"C#225;c quỹ ETF ngoại bị r#250;t r#242;ng hơn 276 tỷ đồng, tập trung phần lớn ở quỹ Fubon FTSE Vietnam ETF (-178,7 tỷ đồng). Ngo#224;i ra, quỹ VanEck Vietnam ETF ghi nhận r#250;t r#242;ng hơn 97 tỷ đồng.","Các ETF đầu tư vào Việt Nam tiếp tục bị rút ròng C#225;c quỹ ETF ngoại bị r#250;t r#242;ng hơn 276 tỷ đồng, tập trung phần lớn ở quỹ Fubon FTSE Vietnam ETF (-178,7 tỷ đồng). Ngo#224;i ra, quỹ VanEck Vietnam ETF ghi nhận r#250;t r#242;ng hơn 97 tỷ đồng.",https://vneconomy.vn/cac-etf-dau-tu-vao-viet-nam-tiep-tuc-bi-rut-rong.htm,VnEconomy,"Các ETF đầu tư vào Việt Nam tiếp tục bị rút ròng C NUMBER c quỹ ETF ngoại bị r NUMBER t r NUMBER ng hơn NUMBER tỷ đồng, tập trung phần lớn ở quỹ Fubon FTSE Vietnam ETF - NUMBER , NUMBER tỷ đồng . Ngo NUMBER i ra, quỹ VanEck Vietnam ETF ghi nhận r NUMBER t r NUMBER ng hơn NUMBER tỷ đồng.",neutral,0.0,0.0,1.0,0.0,0.0,keyword-based,Không có tín hiệu rõ ràng từ tin tức
2025-12-02 03:24:00,VNM,Khối ngoại vẫn bán ròng khớp lệnh gần 8.000 tỷ đồng trong tháng 11,"Nh#224; đầu tư nước ngo#224;i b#225;n r#242;ng 6881.1 tỷ đồng trong th#225;ng 11/2025, t#237;nh ri#234;ng giao dịch khớp lệnh th#236; họ b#225;n r#242;ng 7966.6 tỷ đồng.","Khối ngoại vẫn bán ròng khớp lệnh gần 8.000 tỷ đồng trong tháng 11 Nh#224; đầu tư nước ngo#224;i b#225;n r#242;ng 6881.1 tỷ đồng trong th#225;ng 11/2025, t#237;nh ri#234;ng giao dịch khớp lệnh th#236; họ b#225;n r#242;ng 7966.6 tỷ đồng.",https://vneconomy.vn/khoi-ngoai-van-ban-rong-khop-lenh-gan-8000-ty-dong-trong-thang-11.htm,VnEconomy,"Khối ngoại vẫn bán ròng khớp lệnh gần NUMBER . NUMBER tỷ đồng trong tháng NUMBER Nh NUMBER đầu tư nước ngo NUMBER i b NUMBER n r NUMBER ng NUMBER . NUMBER tỷ đồng trong th NUMBER ng NUMBER NUMBER , t NUMBER nh ri NUMBER ng giao dịch khớp lệnh th NUMBER họ b NUMBER n r NUMBER ng NUMBER . NUMBER tỷ đồng.",neutral,0.0,0.0,1.0,0.0,0.0,keyword-based,Không có tín hiệu rõ ràng từ tin tức
